n_e,n_i,T_i,T_e,rho
1.5019541e+20,1.5019541e+20,4107.3859,4107.3859,0.88,
1.4890668e+20,1.4890668e+20,4026.6666,4026.6666,0.885,
1.4751306e+20,1.4751306e+20,3941.0201,3941.0201,0.89,
1.4595448e+20,1.4595448e+20,3847.1751,3847.1751,0.895,
1.4424103e+20,1.4424103e+20,3745.493,3745.493,0.9,
1.4236200e+20,1.4236200e+20,3635.673,3635.673,0.905,
1.4035295e+20,1.4035295e+20,3518.1655,3518.1655,0.91,
1.3848044e+20,1.3848044e+20,3395.0257,3395.0257,0.915,
1.3635603e+20,1.3635603e+20,3250.6526,3250.6526,0.92,
1.3395752e+20,1.3395752e+20,3086.5287,3086.5287,0.925,
1.3126860e+20,1.3126860e+20,2902.533,2902.533,0.93,
1.2822442e+20,1.2822442e+20,2694.2278,2694.2278,0.935,
1.2489459e+20,1.2489459e+20,2466.3762,2466.3762,0.94,
1.2139415e+20,1.2139415e+20,2226.8503,2226.8503,0.945,
1.1776338e+20,1.1776338e+20,1978.4064,1978.4064,0.95,
1.1407271e+20,1.1407271e+20,1725.864,1725.864,0.955,
1.1046064e+20,1.1046064e+20,1478.6995,1478.6995,0.96,
1.0696304e+20,1.0696304e+20,1239.3679,1239.3679,0.965,
1.0365644e+20,1.0365644e+20,1013.1056,1013.1056,0.97,
1.0068837e+20,1.0068837e+20,810.0082,810.0082,0.975,
9.7962634e+19,9.7962634e+19,623.49353,623.49353,0.98,
9.5485431e+19,9.5485431e+19,453.98505,453.98505,0.985,
9.3449505e+19,9.3449505e+19,314.672,314.672,0.99,
9.1631205e+19,9.1631205e+19, 190.25054,190.25054,0.995,
9.0020000e+19,9.0020000e+19,80.,80.,1.,
