n_e,n_i,T_i,T_e,rho
4.3780090688704047e+20,4.3780090688704047e+20,4604.7621431257485,4604.7621431257485,0.17
4.370220523245207e+20,4.370220523245207e+20,4584.142679345507,4584.142679345507,0.17500000000000002
4.362091502145102e+20,4.362091502145102e+20,4563.099206697709,4563.099206697709,0.18
4.353618613558884e+20,4.353618613558884e+20,4541.6377432511035,4541.6377432511035,0.185
4.3447986936814895e+20,4.3447986936814895e+20,4519.7642642195115,4519.7642642195115,0.19
4.335628808428008e+20,4.335628808428008e+20,4497.484706969265,4497.484706969265,0.195
4.326106255053027e+20,4.326106255053027e+20,4474.804975585957,4474.804975585957,0.2
4.316228563855805e+20,4.316228563855805e+20,4451.7309450483335,4451.7309450483335,0.20500000000000002
4.305993499953368e+20,4.305993499953368e+20,4428.268465051008,4428.268465051008,0.21
4.2953990651050603e+20,4.2953990651050603e+20,4404.423363512395,4404.423363512395,0.215
4.284443499573285e+20,4.284443499573285e+20,4380.201449799729,4380.201449799729,0.22
4.273125284006252e+20,4.273125284006252e+20,4355.608517699243,4355.608517699243,0.225
4.261443141329487e+20,4.261443141329487e+20,4330.6503481562095,4330.6503481562095,0.23
4.249396038633673e+20,4.249396038633673e+20,4305.3327118067355,4305.3327118067355,0.23500000000000001
4.236983189047109e+20,4.236983189047109e+20,4279.661371320689,4279.661371320689,0.24
4.224204053581753e+20,4.224204053581753e+20,4253.642083573009,4253.642083573009,0.245
4.211058342942346e+20,4.211058342942346e+20,4227.280601658787,4227.280601658787,0.25
4.197546019288612e+20,4.197546019288612e+20,4200.582676765833,4200.582676765833,0.255
4.183667297941043e+20,4.183667297941043e+20,4173.554059917036,4173.554059917036,0.26
4.16942264902112e+20,4.16942264902112e+20,4146.20050359358,4146.20050359358,0.265
4.1548127990172103e+20,4.1548127990172103e+20,4118.52776324892,4118.52776324892,0.27
4.1398387322677186e+20,4.1398387322677186e+20,4090.541598722486,4090.541598722486,0.275
4.1245016923533686e+20,4.1245016923533686e+20,4062.247775561203,4062.247775561203,0.28
4.1088031833907456e+20,4.1088031833907456e+20,4033.652066256134,4033.652066256134,0.28500000000000003
4.0927449712195076e+20,4.0927449712195076e+20,4004.760251400872,4004.760251400872,0.29
4.076329084475871e+20,4.076329084475871e+20,3975.5781207777295,3975.5781207777295,0.295
4.059557815545241e+20,4.059557815545241e+20,3946.1114743771586,3946.1114743771586,0.3
4.0424337213869765e+20,4.0424337213869765e+20,3916.3661233554335,3916.3661233554335,0.305
4.024959624224544e+20,4.024959624224544e+20,3886.3478909351225,3886.3478909351225,0.31
4.007138612094435e+20,4.007138612094435e+20,3856.0626132525204,3856.0626132525204,0.315
3.988974039247418e+20,3.988974039247418e+20,3825.5161401558476,3825.5161401558476,0.32
3.970469526395816e+20,3.970469526395816e+20,3794.714335957707,3794.714335957707,0.325
3.9516289608006874e+20,3.9516289608006874e+20,3763.6630801450087,3763.6630801450087,0.33
3.9324564961929187e+20,3.9324564961929187e+20,3732.3682680492934,3732.3682680492934,0.335
3.912956552522367e+20,3.912956552522367e+20,3700.835811480185,3700.835811480185,0.34
3.8931338155293245e+20,3.8931338155293245e+20,3669.071639324455,3669.071639324455,0.34500000000000003
3.8729932361327483e+20,3.8729932361327483e+20,3637.081698113013,3637.081698113013,0.35000000000000003
3.852540029629765e+20,3.852540029629765e+20,3604.8719525579468,3604.8719525579468,0.355
3.831779674701157e+20,3.831779674701157e+20,3572.448386061588,3572.448386061588,0.36
3.810717912217617e+20,3.810717912217617e+20,3539.8170011994252,3539.8170011994252,0.365
3.7893607438417166e+20,3.7893607438417166e+20,3506.9838201785574,3506.9838201785574,0.37
3.767714430420646e+20,3.767714430420646e+20,3473.954885273252,3473.954885273252,0.375
3.745785490164933e+20,3.745785490164933e+20,3440.7362592390837,3440.7362592390837,0.38
3.723580696608461e+20,3.723580696608461e+20,3407.334025706992,3407.334025706992,0.385
3.701107076345259e+20,3.701107076345259e+20,3373.7542895585375,3373.7542895585375,0.39
3.6783719065386615e+20,3.6783719065386615e+20,3340.003177283524,3340.003177283524,0.395
3.655382712198594e+20,3.655382712198594e+20,3306.0868373211056,3306.0868373211056,0.4
3.632147263222855e+20,3.632147263222855e+20,3272.0114403853836,3272.0114403853836,0.405
3.608673571198446e+20,3.608673571198446e+20,3237.7831797764857,3237.7831797764857,0.41000000000000003
3.584969885959122e+20,3.584969885959122e+20,3203.408271677994,3203.408271677994,0.41500000000000004
3.561044691895527e+20,3.561044691895527e+20,3168.8929554416077,3168.8929554416077,0.42
3.536906704014389e+20,3.536906704014389e+20,3134.243493859795,3134.243493859795,0.425
3.512564863743477e+20,3.512564863743477e+20,3099.466173427216,3099.466173427216,0.43
3.4880283344791195e+20,3.4880283344791195e+20,3064.567304591589,3064.567304591589,0.435
3.463306496873349e+20,3.463306496873349e+20,3029.5532219946863,3029.5532219946863,0.44
3.43840894385782e+20,3.43840894385782e+20,2994.4302847040613,2994.4302847040613,0.445
3.413345475401928e+20,3.413345475401928e+20,2959.204876436123,2959.204876436123,0.45
3.388126093002678e+20,3.388126093002678e+20,2923.883405771087,2923.883405771087,0.455
3.3627609939041124e+20,3.3627609939041124e+20,2888.4723063603506,2888.4723063603506,0.46
